WR6030       各口徑在所堪用表、領表及待修表(待報銷)查詢 -麻豆服務所       列表日期：1150724
   類別：全選 
表號,廠牌,型式,購置日期,購置原價,有效期限,類別,領表日期,領表人,備註,財產取得編號
108-B-017894,坤慶,多重噴嘴機械式Ｂ級,108-04-16,707,116/ 3,待修表,,,,
108-B-017909,坤慶,多重噴嘴機械式Ｂ級,108-04-16,707,116/ 3,待修表,,,,
108-B-017950,坤慶,多重噴嘴機械式Ｂ級,108-04-16,707,116/ 3,待修表,,,5 檢校,
108-B-066893,坤慶,多重噴嘴機械式Ｂ級,108-09-26,707,116/ 8,待修表,,,,
108-B-069260,坤慶,多重噴嘴機械式Ｂ級,108-09-26,707,116/ 8,待修表,,,,
108-B-077084,儀鎮,多重噴嘴機械式Ｂ級,    0-  0-  0,671,116/ 8,待修表,,,,
108-B-383707,儀鎮,多重噴嘴機械式Ｂ級,108-04-08,515,116/ 2,待修表,,,5 檢校,
108-B-383757,儀鎮,多重噴嘴機械式Ｂ級,108-04-08,515,116/ 2,待修表,,,,
108-B-416088,儀鎮,多重噴嘴機械式Ｂ級,108-05-10,0,116/ 4,待修表,,,5 檢校,
108-B-520866,儀鎮,多重噴嘴機械式Ｂ級,108-08-05,515,116/ 6,待修表,,,,
108-B-739108,坤慶,多重噴嘴機械式Ｂ級,108-08-05,515,116/ 7,待修表,,,5 檢校,
108-B-744120,坤慶,多重噴嘴機械式Ｂ級,108-11-12,515,116/ 9,待修表,,,,
108-B-818540,坤慶,多重噴嘴機械式Ｂ級,109-02-18,671,117/ 1,待修表,,,,
108-B-818618,坤慶,多重噴嘴機械式Ｂ級,109-02-18,515,117/ 1,待修表,,,,
108-C-054320,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,待修表,,,,
108-C-054326,銓準,多重噴嘴機械式Ｂ級,108-05-03,640,116/ 3,待修表,,,,
108-D-003747,銓準,多重噴嘴電子式Ｃ級,108-07-16,2395,116/ 4,待修表,,,,
108-D-003748,銓準,多重噴嘴電子式Ｃ級,108-07-16,2395,116/ 4,待修表,,,,
108-D-003750,銓準,多重噴嘴電子式Ｃ級,108-07-16,2395,116/ 4,待修表,,,,
108-D-003751,銓準,多重噴嘴電子式Ｃ級,108-07-16,2395,116/ 4,待修表,,,,
108-D-003752,銓準,多重噴嘴電子式Ｃ級,108-07-16,2395,116/ 4,待修表,,,,
108-D-003754,銓準,多重噴嘴電子式Ｃ級,108-07-16,2395,116/ 4,待修表,,,,
108-D-003755,銓準,多重噴嘴電子式Ｃ級,108-07-16,2395,116/ 4,待修表,,,,
108-E-000258,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,24416,116/ 2,待修表,,,,
109-B-118122,坤慶,多重噴嘴機械式Ｂ級,109-03-26,510,117/ 1,待修表,,,5 檢校,
109-B-118168,坤慶,多重噴嘴機械式Ｂ級,109-03-26,510,117/ 1,待修表,,,,
109-B-118185,坤慶,多重噴嘴機械式Ｂ級,109-03-26,510,117/ 1,待修表,,,,
109-B-118290,坤慶,多重噴嘴機械式Ｂ級,109-03-26,510,117/ 1,待修表,,,,
109-B-152014,坤慶,多重噴嘴機械式Ｂ級,109-05-07,510,117/ 3,待修表,,,,
109-B-152086,坤慶,多重噴嘴機械式Ｂ級,109-05-07,510,117/ 3,待修表,,,,
109-B-234466,坤慶,多重噴嘴機械式Ｂ級,109-09-04,510,117/ 7,待修表,,,,
109-B-268646,坤慶,多重噴嘴機械式Ｂ級,109-11-06,510,117/ 9,待修表,,,,
109-B-268756,坤慶,多重噴嘴機械式Ｂ級,109-11-06,510,117/ 9,待修表,,,5 檢校,
109-B-345971,坤慶,多重噴嘴機械式Ｂ級,110-01-25,510,117/12,待修表,,,,
109-B-346043,坤慶,多重噴嘴機械式Ｂ級,110-01-25,510,117/12,待修表,,,,
109-B-391403,儀鎮,多重噴嘴機械式Ｂ級,109-03-17,510,117/ 1,待修表,,,,
109-B-391588,儀鎮,多重噴嘴機械式Ｂ級,109-03-17,510,117/ 1,待修表,,,5 檢校,
109-B-461810,儀鎮,多重噴嘴機械式Ｂ級,109-07-21,510,117/ 6,待修表,,,,
109-B-578992,源泰,多重噴嘴機械式Ｂ級,109-05-26,510,117/ 4,待修表,,,5 檢校,
109-C-126121,銓準,多重噴嘴機械式Ｂ級,109-07-01,633,117/ 5,待修表,,,,
109-D-001894,源泰,多重噴嘴機械式Ｂ級,109-10-20,1120,117/ 7,待修表,,,,
109-E-000216,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,24202,116/12,待修表,,,,
109-E-000217,弓銓,多重噴嘴電子式Ｃ級,    0-  0-  0,24202,116/12,待修表,,,,
110-A-109755,儀鎮,多重噴嘴機械式Ｂ級,110-08-25,470,118/ 7,待修表,,,,
110-A-144097,儀鎮,多重噴嘴機械式Ｂ級,110-09-23,470,118/ 8,待修表,,,,
110-A-144327,儀鎮,多重噴嘴機械式Ｂ級,110-09-23,470,118/ 8,待修表,,,,
110-B-069102,坤慶,多重噴嘴機械式Ｂ級,110-10-13,699,118/ 9,待修表,,,,
110-B-108545,源泰,多重噴嘴機械式Ｂ級,110-05-12,509,118/ 4,待修表,,,5 檢校,
110-B-139400,源泰,多重噴嘴機械式Ｂ級,110-07-13,509,118/ 6,待修表,,,,
110-B-211441,源泰,多重噴嘴機械式Ｂ級,110-11-02,0,118/ 9,待修表,,,5 檢校,
110-B-211453,源泰,多重噴嘴機械式Ｂ級,110-11-02,0,118/ 9,待修表,,,,
110-B-468577,坤慶,多重噴嘴機械式Ｂ級,110-07-27,509,118/ 6,待修表,,,,
110-C-015322,源泰,多重噴嘴機械式Ｂ級,110-03-25,793,118/ 2,待修表,,,,
110-C-015351,源泰,多重噴嘴機械式Ｂ級,110-03-25,793,118/ 2,待修表,,,,
110-C-134383,銓準,多重噴嘴機械式Ｂ級,110-08-10,631,118/ 6,待修表,,,,
111-B-021028,源泰,多重噴嘴機械式Ｂ級,111-05-03,796,119/ 3,待修表,,,5 檢校,
111-B-021089,源泰,多重噴嘴機械式Ｂ級,111-05-03,796,119/ 3,待修表,,,5 檢校,
111-B-021091,源泰,多重噴嘴機械式Ｂ級,111-05-03,796,119/ 3,待修表,,,,
111-B-087632,源泰,多重噴嘴機械式Ｂ級,111-10-25,796,119/ 9,待修表,,,5 檢校,
111-B-087755,源泰,多重噴嘴機械式Ｂ級,111-10-25,796,119/ 9,待修表,,,,
111-B-087841,源泰,多重噴嘴機械式Ｂ級,111-10-25,796,119/ 9,待修表,,,,
111-B-171001,源泰,多重噴嘴機械式Ｂ級,111-07-19,546,119/ 6,待修表,,,5 檢校,
111-B-171269,源泰,多重噴嘴機械式Ｂ級,111-07-19,546,119/ 6,待修表,,,,
111-B-243971,源泰,多重噴嘴機械式Ｂ級,111-11-29,546,119/10,待修表,,,,
111-B-243972,源泰,多重噴嘴機械式Ｂ級,111-11-29,546,119/10,待修表,,,,
111-B-243975,源泰,多重噴嘴機械式Ｂ級,111-11-29,546,119/10,待修表,,,5 檢校,
111-B-344663,儀鎮,多重噴嘴機械式Ｂ級,111-04-14,546,119/ 3,待修表,,,5 檢校,
111-B-385763,儀鎮,多重噴嘴機械式Ｂ級,111-08-04,546,119/ 6,待修表,,,5 檢校,
111-B-385776,儀鎮,多重噴嘴機械式Ｂ級,111-08-04,546,119/ 6,待修表,,,,
111-B-385777,儀鎮,多重噴嘴機械式Ｂ級,111-08-04,546,119/ 6,待修表,,,,
111-B-464909,儀鎮,多重噴嘴機械式Ｂ級,111-11-14,546,119/10,待修表,,,,
111-C-183243,銓準,多重噴嘴電子式Ｃ級,111-09-12,1589,119/ 7,待修表,,,,
112-A-028900,儀鎮,多重噴嘴機械式Ｂ級,112-02-21,501,120/ 1,待修表,,,,
107-B-039229,坤慶,多重噴嘴機械式Ｂ級,107-07-26,710,115/ 6,待報銷,,,,
107-B-039230,坤慶,多重噴嘴機械式Ｂ級,107-07-26,710,115/ 6,待報銷,,,,
107-B-039231,坤慶,多重噴嘴機械式Ｂ級,107-07-26,710,115/ 6,待報銷,,,,
107-B-039232,坤慶,多重噴嘴機械式Ｂ級,107-07-26,710,115/ 6,待報銷,,,,
107-B-039233,坤慶,多重噴嘴機械式Ｂ級,107-07-26,710,115/ 6,待報銷,,,,
107-B-039234,坤慶,多重噴嘴機械式Ｂ級,107-07-26,710,115/ 6,待報銷,,,,
107-B-039235,坤慶,多重噴嘴機械式Ｂ級,107-07-26,710,115/ 6,待報銷,,,,
107-B-039236,坤慶,多重噴嘴機械式Ｂ級,107-07-26,710,115/ 6,待報銷,,,,
107-B-039237,坤慶,多重噴嘴機械式Ｂ級,107-07-26,710,115/ 6,待報銷,,,,
107-B-039523,坤慶,多重噴嘴機械式Ｂ級,107-07-26,710,115/ 6,待報銷,,,,
107-B-101546,源泰,多重噴嘴機械式Ｂ級,107-05-16,520,115/ 3,待報銷,,,,
107-B-231592,源泰,多重噴嘴機械式Ｂ級,107-11-09,520,115/10,待報銷,,,,
107-B-231595,源泰,多重噴嘴機械式Ｂ級,107-11-09,520,115/10,待報銷,,,,
107-B-231625,源泰,多重噴嘴機械式Ｂ級,107-11-09,520,115/10,待報銷,,,,
107-B-264916,源泰,多重噴嘴機械式Ｂ級,107-11-30,520,115/11,待報銷,,,,
107-B-264932,源泰,多重噴嘴機械式Ｂ級,107-11-30,520,115/11,待報銷,,,,
107-B-264942,源泰,多重噴嘴機械式Ｂ級,107-11-30,520,115/11,待報銷,,,,
107-B-265010,源泰,多重噴嘴機械式Ｂ級,107-11-30,520,115/11,待報銷,,,,
107-B-378222,儀鎮,多重噴嘴機械式Ｂ級,107-06-01,520,115/ 5,待報銷,,,,
107-B-378499,儀鎮,多重噴嘴機械式Ｂ級,107-06-01,520,115/ 5,待報銷,,,,
107-B-378500,儀鎮,多重噴嘴機械式Ｂ級,107-06-01,520,115/ 5,待報銷,,,,
107-B-686794,坤慶,多重噴嘴機械式Ｂ級,108-01-11,520,115/11,待報銷,,,,
107-B-731917,坤慶,多重噴嘴機械式Ｂ級,    0-  0-  0,671,115/12,待報銷,,,,
107-B-731943,坤慶,多重噴嘴機械式Ｂ級,    0-  0-  0,671,115/12,待報銷,,,,
107-B-731949,坤慶,多重噴嘴機械式Ｂ級,    0-  0-  0,671,115/12,待報銷,,,,
107-B-796301,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796302,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796303,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796304,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796305,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796306,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796307,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796308,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796309,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796310,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796311,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796312,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796313,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796314,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796315,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796392,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796393,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796394,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796395,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796396,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796397,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796398,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796399,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796400,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796401,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796402,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796403,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796404,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796405,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796406,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796407,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
107-B-796408,銓準,多重噴嘴機械式Ｂ級,107-07-06,520,115/ 6,待報銷,,,,
